star_score,reple
10,흑백으로 제작한 이유가 참 설득력있게전개되는 작품으로 연극과 영화의 요소들을 적절하게 연출해서 직장인들의 고민과 현실타협의 아이러니한 경계선을 독특하게 표현했다
5,흑백의 영화와 연극적 요소가미
10,"배우들의 연기와 흑백영상이 빚어내는 동시대의 잿빛 미래, 그리고 그 앙금들이 남긴 무늬"
10,"독립영화는 정말 오랜만에 봤음. 연극적인 느낌, 사실감을 느낄 수 있는 그런 영화. 만족"
10,
10,"낄낄 거리면서 보다가도, 뭔가 숨이 턱 막히는 기분..."
10,착잡하지만 이게 현실이라는게 너무 슬프네요
10,"영화와 공연, 실제와 상상을 오가는 표현이 흑백이라는 장치와 잘 맞물린 수작. 배우들 연기가 신선했다."
1,평점 조절용 평점
카페 벨에포크
10,내 '벨에포크'는 언제인지 생각하게 되는 영화! 영상미도 너무 이쁘고 무엇보다 핸드메이드 시간여행이라는 컨셉이 너무너무 신박했음!
10,익숙함에 속아 소중함을 잃지말자란 말이 떠오르네요
9,"""세상이 큰 재떨이 같았어."" 마리안에게는 어둠의 1974년이 빅토르에겐 찬란한 빛이었음을."
10,감동이다.. 눈물났다 할아버지 눈빛과 연기에. 늙어도 사랑은 필요하고 추억을 공유한 옆에 있는 사람에게 잘해주자
10,매력적인 시간여행 로맨스! 아 이 맛에 로맨스 영화 보는거지 싶었다. 소중한 사람이랑 같이 보면 더 좋을 듯
10,뜻밖의 감동과 여운이 길게 남는 영화. 마지막 엔딩 꼭 놓치지 마세요. 눈물이 왈칵 나서 혼났어요.. 강력 추천합니다!!
6,아쉽다 높은 완성도를 가질수 있었을거 같은데..2프로 부족한 영화
10,"추억으로 남은 과거는 사랑스럽고 달콤하다. 초심을 떠올릴 수 있다. 그러나 거기에 함몰되면 안 된다는 듯, 마지막에는 모두의 담배가 꺼진다. 아쉬운듯 과거의 환영을 보며 잠시 담뱃불을 붙여보지만, 이내 금방 꺼버린다. 아름다운 순간에 항상 머물 수는 없기에..."
7,초반 적응하는데  인내심이 필요한 프랑스감각영화.15세가 관람할 영화는 아닌것같은데..
10,너무 독특하고 사랑스러운 영화 ㅠㅠㅠ 오랜만에 로맨스 영화 본건데 대만족.. 한국에서도 꼭 리메이크됐음 좋겠어요
패왕별희 디 오리지널
10,최고의 영화.. 아직도 가슴이 먹먹하고 눈물이 나온다. 장국영이 보고싶다.
10,이 정도면 인류의 유산이라고 평가하고 싶다.
10,내 인생 최고의 영화. 나의 영화감상은 패왕별희를 보기전과 보고난 후로 나뉘어질 정도다. 평점 10점도 짜다고 생각함. 시나리오의 탄탄함과 그것을 완벽함으로 이끌어낸 배우들의 연기력. 최고다.
10,"20여년전 어릴 적 봤을 때도 임펙트가 대단했는데 나이먹고 보니 더 대단하다...패왕별희를 능가할 중국영화가 다시 나올 수 있을까도 궁금하다...장국영은 이 영화로 영원히 살아 숨쉬는거야,.,."
10,극 속 우희의 삶도 삶이지만 집단 사고가 얼마나 무서운 전염병인지 절실히 느꼈다. 누군지도 모를 사람의 한마디에 휩쓸려 인민들이 쉽사리 말을 바꾸고 목청을 높이는 대목이 너무나도 소름끼쳤다...
10,"물밀듯 쳐들어오는 한나라 앞에서 자결한 우희, 물밀듯 쳐들어오는 시대 앞에서 자결한 데이."
10,"역시나 지금까지 인구에 회자되는 명작은 다르다. 인생과 사랑과 예술과 역사가 서로 오묘하게 교직되어 공명하면서도 충돌하고, 모순되면서도 합일을 이루어낸다. 어떤 영화가 인간의 삶을 이토록 다양한 각도에서 총체적으로 그려낼 수 있단 말인가"
10,보다 미칠수도 있음 ....
10,지림
8,예술은시대로부터자유로워야한다
톰보이
10,"기자들 리뷰가, 특히 박평식 마저...너무 좋아서 궁금했던 작품. 근데 영화를 보고 나니 그 리뷰들은 이 영화의 진짜를 반도 담아내지 못한 느낌이다. 로레야 사랑해~!"
10,톰보이 너무 좋게 봤어요... 잔잔한 듯 하지만 감정적 스릴러라 불러도 좋을만큼 강렬하고 여운이 깊은 영화였습니다. 특히 로레에게 많이 공감됐어요.. 어릴 때 나에게로 돌아가서 이 영화를 보여줄 수 있다면 좋았을 거라고 생각하면서 크레딧이 올라가는 내내 울었습니다. 두고두고 꺼내보고 싶은 영화예요..
8,아이가 자신의 존재와 의미를 온전히 받아들일 때까지 어른은 어떤 자세를 취해야 하는가 생각해보게 된다.
10,파란색 원피스가 이처럼 폭력적으로 다가올지 몰랐다.
10,햇살처럼 따듯하고 상큼한 영화 . 요즘같은때 보고 힐링하고 싶은영화 . 내 청소년기 생각이 났어요. 그리고 부모님들도 보시면 생각할꺼리가 많은 영화라고 생각해요. 강력추천합니다
10,셀린 시아마 감독의 섬세한 시선이 담겨서 너무 좋았다ㅠㅠ
10,잔의 통통한 손이 카메라에 잡힐때마다귀여움에 죽을뻔함...두 자매의 매력.. 아이의 성장기..
10,로레건 미카엘이건 무슨 상관이겠어
10,"숨고 싶은, 숨기고 싶은 세상을 만든 어른 중 한 사람으로서 미안해."
9,와우 그들의 마음이 이렇게나 잘 이해되다니..
이장
10,진짜 이건 찐영화네요 연기력도 다들 넘 좋으심
10,대박적ㅋㅋㅋ 재미있다는 얘기는 들었는데 이정도일줄은 몰랐음 올해의 영화를 만난 기분
10,"연기자들의 탄탄한 내공, 감독의 유머가 합쳐진 리얼한 오남매의 이야기.. 한국독립영화 수준이 많이 높아진것 같습니다.온가족이 함께가서 보면 좋을듯..추천합니다."
10,좋은 영화^^ 재미있게 봅시다^^
10,지난해 무주영화제에서 본 영화 정말 잊지 못할 가족애와 복잡한 우리나라 가부장제.. 남아선호 등등의 복잡한 삶이 영화속에... 후회없을 기억에 남을 영화?
8,상당히 인상적이다. 가부장제에 대한 반항이라는 다소 식상한 주제를 비범하게 만들었다. 배우들의 빈틈없는 연기가 일품. 대립이 아닌 또다시 가족이라는 결론은 묵직하다
10,"옹기종기 모여있는 장면이 너무 애틋하고 좋다. 말이 없어도, 뭘 하지 않아도, 그저 그렇게 옆에 있기만 해도 좋지 않은가. 가족이란게."
7,굴레 굴레 해도 이만한 굴레가 있을까? 그럼에도 버릴 수 없는 이유. 이 영화에 있다. 리얼해서 공감되는 수작.
10,배우들의 찐 연기 연출의 섬세함 좋습니다
10,내용 너무 재미있어요!  추천합니다~
전망 좋은 방
8,키스신이 굉장히 로맨틱한 영화 스토리도 산뜻하고 아기자기하다
8,이런게 영화지...
9,책을읽는 분위기네요
9,"세상에나.. 이렇게 아름다운 명작을 지금서야 보다니.. 장면 하나하나.. 한 폭의 멋진 &#39;그림&#39;들을 보는 듯한 느낌이다. 유난히, 인상적인 키스씬들이 아름다운 풍경들과 멋드러지게 연출되었으며, 철없는 귀족아가씨가 이룩한 정신적인 성장도 감동으로다가옴."
8,잔잔하고 로맨틱하다. ost와 풍경의 조화도 굿
8,이영화는 한 번만 보면 놓치기 쉬운 대사가 많다.대사를 꼭꼭 씹어 먹고 싶른 영화!!
8,전에는 보지못한 열정과 자유가 있는 로맨스.ㅋㅋ 낡았다고 새로운 것이 없는 것이 아니다. 명작은 시대를 통하는 것. 게다가 덤으로 이제는 관록의 명배우들의 과거까지 감상가능하네. ㅋㅋ
9,"배경,음악,, 헬레나의 여리한 얼굴이 좋다. 감성충만영화"
8,잔잔한 연애소설을 읽는 듯한 두근거림과 함께 아름다운 배경들이 감성을 자극했던 영화예요. 피렌체에 여행갔을 때 영화에서의 전망을 상상하며 호텔방창턱에 앉아보던 기억도 나네요. 오만과 편견이나 제인에어를 감동깊게 봤던 분이라면 강추!
10,"누군가의 전유물이 되기 전에 사회의 구속에서 벗어나, 진실한 사랑을 얻게되는 루시."
인비저블 라이프
10,먹먹하다..누구에 의해 내 삶이 좌지우지되지 않기를. 내 자신으로 살아가기를.
10,"영화의 마지막이 조금 아쉬었지만, 영화 중간중간의 장면들에서 생각해볼 수 있는 것들이 많은 영화입니다. 특히 동생 역을 맡은 배우가 관계 후 거울 앞에서 남편과는 대조적인 얼굴을 하고 있었던 부분은 충격으로 다가왔어요. 여러모로 충격적이고, 많은 것들을 생각해 볼 수 있게 한 좋은 영화였어요."
10,좀비 영화 보다가 이거 보고 힐링 받았네요..
10,최근 봤던 여성서사 중 단연 최고!
10,개봉 전 평론가 평점이 높아 기대했던 작품인데 엄청 충격적이고 감동적입니다.. 특히 브라질의 영상미가 인상 깊었네요. 굿
9,격정적인 역사의 흐름속에서 저들만의 투쟁으로 쟁취해냈던 개개인의 처절한 삶. 그 속에는 좌절과 분노도 있었지만 숭고한 희생과 사랑도 있었다. 보이지 않는 삶을 산 모든 그녀들(그리고 그들)에게 이 영화를 바칩니다.
10,애비xx랑 남편xx 죽여버리고싶ㅇㄷㅁ
10,올해 봤던 영화 중 제일 좋았음. 강추
10,보는 내내 마치 예술작품같은 영상미에 반했습니다. 브라질 영화가 대세라던데..
8,"영화에선 보여지지 않은 그들의 삶을 상상해본다. 말해주지 않는 감정을 떠올려본다. 쉽사리 연민하지 않고 손쉽게 안도하지 않는다. 그저 나타난 표정을 바라본다. 보이지 않는 삶을 바라보는 건 사실 자신의 마음을 들여다보는 일인지도 모르겠다. 아니면, 자신의 마음에 닿기 위해, 스스로를 지탱하기 위해 누군가가 필요한 걸지도 모르고. 더는 볼 수 없더라도 우린 그 누군갈 기억하고, 또 만나며 살아간다. 보이지 않는 서로의 삶을 간직하며 사랑한 두 사람처럼."
라라랜드
9,'그래도 우리 잘 해냈지?'라고 말하는 듯한 마지막 눈빛교환이 잊혀지질 않는다
9,"와..그냥 감탄밖엔 안 나온다. 영상미며 음악이며..조폭, 건달, 검사, 신파 좋아하고 실험을 꺼리는 한국의 기성 영화인들 반성해라. 이제 겨우 두 편 만든 신인감독이 이 정도다"
7,처음 들을때는 몰랐다 이 음악이 슬퍼질거란걸
10,"꿈과 사랑, 우리는 항상 성공인지 실패인지 평가만 해왔다. 하지만 라라랜드는 말해준다. ""봐! 꿈과 사랑, 그 흔들리는 파도가 얼마나 아름다운지"""
9,마지막 회상신에서 처음과 달리 키스신으로 스토리시작될때 진짜 소리지를뻔...
10,내일 죽으면 오늘 보러 갈만한 영화
10,마지막 10분 동안 휘몰아치는 감정의 소용돌이에 결국 눈물이 흐르게 만드는 마법같은 영화. 노트북 때에도 그렇고 라이언 고슬링은 이런 역할에 도가 튼 것 같다.
10,연인들을 위한 영화가 아니다. 여성관객들을 위한 영화도 아니다. 이 영화는 꿈꾸는 모든 이들을 위한 영화. 인생을 논하는 영화.
10,운행종료한 놀이공원에 노래가 계속 나오는 것같다.
10,재즈가 이토록 설레고 이렇게 슬프다니.라라랜드는 슬픔과 환희의 설레임이다.
타오르는 여인의 초상
10,뒤돌아 보라고 했을 때 나도 모르게 속이 미어왔다
10,2020년 최고의 영화
10,이 영화에 소피가 있어서 정말 좋았어요. 그 이후에 소피는 어떻게 살았을지 궁금했어요.
10,예술과 사랑을 동등한시선으로 표현한 영화가 또 있을까 모든장면이 소중하고 완벽하다
10,내가 로맨스를 싫어하는게 아니었구나.
10,당신을 그리러 왔어요.
10,"여운이 긴 명작. 아직도 비발디의 사계-여름 3악장이 귓가에 맴돌고 전율이 가시지가 않는다칸 각본상을 수상한 셀린시아마 감독은 연출력도 어마무시하다 카메라의 구도나 기법이 단 하나도 거슬리지않고 어느 장면에서 정지를 눌러도 명화처럼 예술작품이 될 수 있다고 느낀다불과 물, 자연경관도 이 영화의 예술성에 톡톡히 기여한다아델에넬과 노에미메를랑의 시선으로 촘촘히 짜여있어서 몇번을 봐도 새로운 구석이 보인다 첫번째에는 대사에 집중, 두번째에는 표정, 세번째에는 눈(시선) 네번째엔 디테일....프랑스영화여서 거의 모든 영화제에서 하필이면 기생충과 외국어영화상을 두고 맞붙고 있는데 어느쪽을 응원해야할지 모르겠다마지막으로, 이 영화는 모든 여성들이 기다려온 여성서사 작품이다. 아름다워서 미쳐버릴수도 있는 영화라고 확신한다"
8,"파괴적인 결말이 아니라서 좋았다. 살아있으면, 기억할 수 있으면 된 거다. 그럴 수 있다면 슬프지만은 않다."
10,"이렇게 포르노스럽지 않고 독립적인 시선으로 여성을, 레즈비언을 그려낸 영화는 처음인 것 같다. 상영관이 더 늘어서 많은 사람들이 봤으면 좋겠다."
9,"소위 퀴어무비로서도 완성도가 좋지만, 사적 영역(여성간의 금지된 사랑)으로써 당대의 거시적이고 역사적인 맥락(평등을 추구한 18세기 프랑스 혁명)과, 익히 알려진 그리스 신화로 표상되는 사랑의 불멸성 및 초시간성까지 담아냈다는 데 이 영화의 훌륭함이 있는 것 같습니다. 연출과 영상미, 배우들의 연기력 등 거의 모든 요소가 뛰어나지만, 가장 압도적인 면은 감독이 이 주제 의식을 많은 관객들을 전율시킨 보편성을 획득하도록 어떻게 엮어냈는지라 생각합니다. 퀴어무비나 여성영화라는 범주에서만 평가된다면 유감스러울, 천의무봉에 가까운 영화."
야구소녀
10,두산 뭐하냐 유희관 보다 구속 빠른데 영입 안하네;;
10,"보는 내내 주수인을 응원하게 된다. 그 누구도 아닌, '나'를 넘어서기 위한 한 사람의 제대로 된 도전"
10,자라나는 모든 여자 아이들이 봤으면 좋겠습니다.너희에게 한계란 없어
10,모두가 안 된다고 할 때 자신의 꿈을 향해 달려가는 직구
10,끝날때까지 끝난게 아니다...! 주수인을 응원하는 동시에 나까지 성장하는 기분!
10,나 정말 궁금한 게  그냥 여자가 주인공이면 페미 영화임?? 도대체 뭐가 문제인데 이러는 거지...? 여자는 주인공하면 안 됨?
8,성별을 넘어서 프로 야구 선수를 향해 가는 주수인의 여정
10,그 무엇이든 성별이 장단점이 될 수 없다는 당연한 것을 다시한번 깨우쳐주는 영화최고의 영화
10,"꿈을 향해 노력해 본 사람, 좌절해 본 사람, 모두를 위한 영화. 함께 파이팅 외쳐주는 기분이 드는 영화였다."
10,영화 속 주수인은 차분한듯 보이지만 강했다. 누가 뭐라해도 자신의 길은 자신이 택하는 굳센 주수인.
피아니스트의 전설
10,잘못눌러서 본영화인데 잠깐보다가..다봤다...최고다이영화
10,언제봐도 명작이다. 너무나도 절절하고 엔딩크레딧까지 모조리 듣게만드는 영화. 팀 로스의 눈빛이 아직도 잊혀지지 않는다.
10,"정말 사랑스런 작품이다. 작품 속 모든 배우들이 이렇게 조화로울수가 없다. 팀로스의 떼 묻지 않은 소년과 같은 그 연기, 정말 살아있는 연기가 뭔지 너무도 섬세하게 보여준다."
9,최고의 음악 영화 중의 하나!
10,"이 영화?학교음악시간에 보여준영화, 음악관련 최고의 영화, 내가 본 피아노 영화중 최고의 영화, 심지어 말할수 없는 비밀에서의 피아노 배틀이 약해보이기까지 했던 이 영화의 피아노 배틀은 매우 인상적이였다"
10,이 영화는 킬링타임용으론 부적절...
10,눈물흘렷다 감동적이다 꼭봐라 두번봐라 세번봐라 볼때마다 약간씩느낌이다르다 한번보고 10년뒤에 한번더봐라 감동을 두번느낄거다
10,배에서 태어나 세상을 배로 제한해놓고 사는 주인공.. 어쩌면 그 유한함이 그의 삶을 더욱 빛 나게 할 수 있었기에 영화가 더 감동적이었지 않나.. 가끔 ost 앨범을 듣는데 곡 하나하나에 에피소드가 있어서 듣는 내내 영화내용이 머릿속에 그려지는..
10,팀로스의 연기와 엔리오 모니꼬레의 음악이 만나  최고의 영화를 만들어 냈습니다. 마지막에 결국 눈물이 날 수 밖에 없었던 영화입니다
10,말이 필요한가?
찬실이는 복도 많지
10,"돈 되는 영화가 아니라, 볼 만한 영화가 잘 되야 한다."
10,"코로나로 일도 끊기고, 결혼도 안한 30대 중반의 여자가 이 영화로 위로받고 갑니다. 진솔하지만 빵빵터져요"
10,너무나 사랑스러운 영화ㅠㅠ 강말금님의 맑고 상쾌한 연기 꼭 보고 오셔유!!!
9,"꿈과 일에 청춘을 바친 이들에게 공감이 될 영화, 예고편을 보고 희망을 주지 않을까, 극장을 찾았다. 피식피식 웃다 찬실이가 울 때 따라울었다. 청춘을 바친 쓸쓸한 이들만이 알 수 있는 슬픔... 2020년 3월 5일, 찬실이에게 장국영이 나타났다면 내게는 찬실이가 나타났다. 그리고 함께 울고, 함께 위로해줬다. 지금, 꿈으로 힘든 이들이 있다면 꼭 이 영화를 관람하시길 추천한다. 내 생에 있어 이 영화는 절대 잊지 못할 것 같다. 감독님, 배우님, 스태프님 모두 수고하셨습니다. 코로나에 힘드실텐데 제 감상평이 위로가 되었으면 좋겠습니다. 고맙습니다."
10,"그렇지!!! 영화는 이런거지. 돈 많이 들어간다고, 유명배우 많이 나온다구, 미장센에 돈 많이 쓴다고, CG장면 많다고 좋은 영화가 아니다. 잔잔하지만 많은 사람이 공감할 수 있고 본인도 모르는 사이 주인공을 마음으로 응원하고. 이유는 모르겠지만 나의 눈시울은 뜨거워지고, 영화를 보고 나와 나 자신의 요즘 자세를 반성하며 다시 열심히 살아야지 하는 다짐을 스스로 하게 만든 영화 &#39;찬실이는 복도 많지&#39;. 김초희 감독님 감사합니다. 이 어려운 코로나 시기에 이런영화를 만나게 해주셔서. 찬실이도 저도 2020년에 복 많이 받았으면 합니다."
8,난 내가 하고싶은것만 해 대신 애써서해그래서 오늘은 코로나를 무릅쓰고 찬실이를 보고 왔습니다ㅎ
10,신선함과 유치하지않은 위트 메세지까지 모두잡는영화
10,복 많은 찬실이! 보고나면 나도 덩달아 복이 많아지는 느낌이다! 많은 사람들이 봤으면~~
10,오스 야스지로랑 크리스토퍼 놀란이랑 장국영이 나오는데 어떻게 안 봐요
10,"마음에 위로를 주고, 즐거움도 남겨주는 영화! 우리 존재 화이팅!"
#살아있다
2,개연성 진짜....할 말 없음
2,영화보다 중간에 나온적은 처음~ 저런좋은배우를 가지고 이따구영화를 만들다니ㅜㅜ
4,유아인 그 똑똑한 배우가 왜 이런 영화를 택한건지 좀 의문이에요..
1,노잼;;
1,요즘같은 양질의 영상들이 유튜브에 썩어나는 세상에 이런 영화가 영화관에 나오네요 최악입니다 진짜ㅋㅋㅋㅋ 시간과 돈이 썩어나고 넘치는 사람만 보세요. 영화를 보는것과 동시에 충격 혼란 당황 슬픔 분노를 동시에 느낄 수 있고 예고편이랑 본영화랑 내용이 다를것이 없는 영화도 존재한다는걸 처음 깨달았네요 정말 영화가 궁금하신분은 예고편만 보세요 그게 전부니까.
6,개연성이 1도 없던 영화 안씻고 굶어도 탱탱한피부 탈색머리 유아인은 한달이지나도 머리가 그대로. 좀비들은 선택적으로 문다.
2,진짜 좀 개판이긴 함ㅋㅋㅋ 개연성도 없고 마지막 헬기 소음이 얼마나 큰데 헬기 등장씬도 말이 안됨 헬기가 아파트보다 낮은 고도로 저공비행하다가 거기서 나오는건 무슨 007도 아니고 ㅋㅋㅋㅋ
1,18 기대졸라하구봤는데 진짜벙찌네; 깡통도 많이 남았는데 박신혜 구사일생으로 탈출해서 갑자기 총 왜 유아인 주고 쏘라고함?; 개어이없음; 걍 가만히 앉아서 방에서 안전히굶어죽으면 재미없응께 주인공들은 조나 어이없게 사방팔방에서 오는 좀비들 물리치면서 기어나옴 좀비가 옆에서 가만히만 있으면 모르고 지나가기도 함; 어이없음; 마지막 헬리콥터는 무슨 밑에서 기어올라오냐? 진짜 내용 단순막장 에구 좀비분장 세트만들고 참 본전 뽑을수있을까? 박신혜는 지겹다 고만좀 나와라; 끝.
1,유아인이 나혼자산다에 집자랑하러 나왔겠냐..말아먹을영화인거 아니까 그렇게라도 홍보하러 나온거지ㅋ
2,영화 끝나고 생각나는건 진라면과 짜파게티 뿐이다
베스트 오퍼
10,올드먼이 경찰서까지 갔지만 클레어를 회상하며 고발하지 않은 이유는 이 모든 가짜극 속에서 그녀 만큼은 진품의 면모이길 바라는 마음에서 아닐까...
10,이렇게 몰입도가 높은 영화는 처음입니다. 최근 몇 년간 본  영화 중에 최고입니다. 정말 거장의 작품답습니다.
9,마지막에 카페에서 클레어를 기다리는 버질의 모습은 잊혀지지 않을 것 같다
8,오리지널을 추구하던 주인공이  카피된 사랑에 빠졌지만 그 카피된 사랑이 본인에게는 오리지널이 되어버린...
10,"감독 믿고 본 영화. 스토리, 영상, 음악은 말할 것도 없고 제프리 러쉬 연기는 갑 오브 갑"
10,먹먹하면서 아름다운 이야기에 최고의음악들이 영화의 분위기를 더욱 고조시키네요
10,여러분 모태솔로가 이렇게 위험한겁니다.
10,초기에 반전을 예상했는데도 영화 보는 내내 소름이 돋다 못해 전율이 일었다.. 이토록 완벽하고 가슴아픈 반전은 없을것이다. 무엇하나 완벽하지 않은 것이 없는 영화!
10,최고의 명작을 만났을때의 제시할수 있는 최고가는 그전까지 살아온 인생이구나
8,난 여자가 보캉송의 숨겨진 안드로이드라는 반전을 기대했는데...
카메라를 멈추면 안 돼!
9,넌 리허설 때부터 잔소리가 뭐 그렇게 많아!!
10,인터넷 평점 보고 찾아간 허름한 맛집 같은 영화였습니다. 처음엔 잘못 왔나 꽝이었나 싶지만 가게에서 나올 때는 어느샌가 그 맛에 반해 자신도 남에게 추천하고있는 맛집과도 같은 영화입니다. 절대로 화려하진 않지만 재밌는 영화였습니다.
10,한국 코메디 영화들 반성하자.
10,오프닝만 참으면 웃음 폭탄이 (퐁)
10,외쳐! 퐁! \( -0- )/
10,이영화는 미쳤다고 봐야지.
10,일본의 기발함. 천재성. 이게 왜 다른 아사아영화가 아니고 일본영화였어나하는지를 보여주는 작품. 초반 실제의 37분 원테이크의 노고에 박수를
10,영화속의 영화 감독의 뛰어나고 기발한 연출  재미있게봤어요.  공포아니고 코믹  실컷 웃었어요.
10,후..이번년도 통틀어 굉장한 대작을 만났습니다.센스 터짐 폭팔 영화입니다
9,열정과 디테일은 대자본이 두렵지않다
스타 이즈 본
10,"앨리는 잭슨에게 사랑을, 잭슨은 앨리에게 세상을 선물했다"
10,인생에서 어떤 사람을 만나는지에 따라 인생이 바뀔 수 있다..
10,"연기,연출,음악 하나도 빠지는게 없다.올해 본 최고의 음악영화."
10,형 후진할때 충열된 눈 연출 진짜 절제하면서 잘담았어요 노래는말할것두없구요ㅜ 와 브레들리
10,비긴어게인 라라랜드 보다 더 재밌었다
10,무지션은 12개의 음을 자기의 방식대로 만들어가는 것이라 했다. 마지막 5분은 서로의 마음을 합쳐 부른 노래가 모든 장면이 돌아와 내 마음에 박혀서 눈물을 안 흘릴 수가 없었다 올해 최고의 음악영화 이다
10,녹음된 게 아니라 죄다 라이브였다니...
10,가슴이 먹먹하고 눈물이 줄줄..왜 때문이지? 영화보고 나와서 바로 내일날짜로 다시 예매했다.같이간 바보멍청이 같은 남편의 팝콘 씹어 먹는 소리가 너무 거슬려서 영화의 초반을 1정도 놓친것 같아 나혼자 조용히 다시 보고 싶다. 평일 낮에..조용히
9,"Always remember us this way영화 속 잭슨과 앨리가 오랜 기간, 가슴 속에서 잊혀지지 않을 거 같다.두고두고 회자 될 영화"
10,"브래들리 쿠퍼의 연출력, 레이디 가가의 연기와 가창력, 마음을 울리는 음악. 무엇 하나 빠진 것이 없었던 완벽한 영화."
이태원
10,무심코 지나쳤던 공간과 시간들에 대해 생각해보게 되었음~
10,"내가 모르는 이태원, 내가 아는 이태원 그 속에서 살아온 모르는 사람의 삶이라는 것이 흥미로웠던 영화"
10,차분하게 이끌어간 연출이 좋았습니다. 이태원의 맨 얼굴을 존중하는 태도로 볼수 있었습니다.
10,"그들의 삶과 인생이 쌓아올린, 앞으로도 계속 쌓아 올라갈 이태원의 모습을 직접 들을 수 있어 좋았다."
10,감독님 다른 다큐 (자 이제 댄스타임이랑 시국페미)도 재미있게 봤었는데 이번 작품도 좋았어요. 기지촌 성매매 여성 혹은 그 주변의 여성들의 현재 이야기를 그 공간을 중심으로 풀어나간 점이 재미있었어요. 앞으로도 좋은 작품들 기대해요!
10,"너무 많은 생각이드는 영화 였습니다. 이태원에 대해 더 알게되었고, 영화에 출연하신 배우 님들의 인생을 다 알진 못해도, 공감가는 말들이 많아서 좋았습니다. 개인적으로 얼마 안 남은 2019년에 본 영화들 중 제일 좋았습니다."
10,우리가 꼭 알아야 할 이태원의 이야기 생생한 삶의 이야기가 깊이 와닿는다
10,“이게 다큐지.” 소리가 저절로 나오는 생생한 삶의 이야기
10,다큐가 이렇게 재밌을 수 있다니..!! 벌새 감독이 추천해서 봤는데 대만족!
8,이태원의 밤거리 대신 낮거리를 조명하다.
소공녀
10,"미소는 '집'만 없었고, 다른 이들은 '집'만 있었다.우린 어디쯤 있는걸까"
10,근래 본 한국 영화 중 최고였다. 이런 영화가 잘되어야 한다.
10,다들 미소를 보고 위안을 얻는다고 하는데 전 미소처럼 될까봐 무서웠어요. 마음이 따뜻하긴한데 괴로웠어요. 어떻게 다들 이게 자신에게 안 일어날 꺼라고 생각하실 수 있죠? 잔혹하고 아름 다운 서울 동화 였습니다. 발견하기 힘든 가치의 영화 였습니다.
9,"다수에게 손가락질 받는 인생이라도.. 내 삶이 있으니, 정말 용기있는 삶에 박수를 보내고 싶었다..""집이 없지 생각과 취향은 있어!"" 담배 위스키 그리고..너 , 나에겐 지금 무엇이 위안이 되고 있지"
10,물질적 풍요보다 정신적 풍요가 훨씬 더 중요하다 생각하는 사람이라 이 영화가 너무 좋았습니다. 보는 내내 행복했습니다.
8,"집이 없는 미소가 마냥 행복해 보이지만은 않았다. 사랑하는 남친은 현실에 굴복하고 떠나버렸고, 여기저기 친구집을 전전하며 눈치보는 생활을 해야했던 그녀. 정말 그녀는 행복했을까..?"
10,가장 힘든건 마음의 집을 잃는 것이다.
10,그래도 집은...이라는 나의 생각에 뜨끔했다.나의 기준으로 상대를 판단하지 말 것이다.
10,미소는 성공한 인생이다.하룻밤이라도 방을 내어주는 친구가 몇명이나 있다는 건 정말 성공한 인생이다.
10,모두들 슬픔 하나 씩은 안고 사는구나. 청춘에 대한 이야기도 아니고 욜로라이프이 대한 이야기도 아니다. 꾸역꾸역 하루하루 살아가는 우리들의 이야기를 담은 영화.
에베레스트
2,중국인들은 영화까지 정부의 검열을 받나보네. 장르를 가리지 않고 중화사상이 안들어간 영화가 없음. 시작부터 끝까지 우리 중국이 세계 제일이야 짱이야 하는 지들끼리 자화자찬하다 끝나는 영화
1,"중국, 특히 주인공인 오경이 세계 평화를 지키고 지구도 구하는 등 중화사상이 들어있는 영화를 그간 수없이 많이 봐왔지만 이번 영화가 그 중 최고 였던 것 같다가장 가관이었던 것은 초반에 사고로 사망한 첫 등반대장의 대사였는데 관람하는 내내 잊혀지지 않았습니다.&#39;방오주 이제 네가 등반 대장이다. 꼭 우리산의 정상에 올라가다오&#39;언제부터 에베레스트가 중국의 산이었는가.."
1,중뽕치사량...크으..
1,평점 왜 10점임?? ㅋㅋ
1,"중화사상을 제외한다쳐도 영화 자체 평가가 사치인 영화임. 티 엄청나는 cg부터 스토리 전개, 캐릭터 매력 다 꽝임. 툭하면 감동적인 노래 틀어 감동주려고 하는데 기가 차기만 함"
1,중공군 정훈교육 시청각자료급 영화
1,개 중뽕 쓰레기 영화 극혐 수준
1,너무 심한 국뽕은 반감을 불러 일으킨다.  어느 정도껏 해야지.  중국홍보영화..  돈 받고 봐야할듯
2,중국이 짱이다라는 영화 중국영화는 다 자기들이 짱이라고 함!! 중요한건 우리나라도 국뽕에 취해있음
1,페미니스트들의 추천영화입니다.
너와 파도를 탈 수 있다면
9,새로운 파도는 언제나 와. 그러니까 힘들고 지쳐서 표류하게 되더라도 반드시 다시 멋지게 파도를 타며 나아가자.
